Customer Username,catherinecarlson,ddavis,gyang,hollyburch,lori34,patricksmith,stephanie92,tclark,terrinorman,traci02
catherinecarlson,1.0,-0.0786020061625741,0.17510039649520096,0.06243055405724209,0.6614066561093311,-0.061800465234283966,-0.28542022422644253,0.06747444783681811,0.20828748261144053,-0.5459148380964188
ddavis,-0.0786020061625741,1.0,-0.6291567698657649,0.35959834427604026,-0.9786363637509475,-0.6821835028427484,0.01937187975171563,0.6740186015747764,0.749554234730309,0.15892842236611626
gyang,0.17510039649520096,-0.6291567698657649,0.9999999999999998,-0.0755928946018454,1.0,0.3825298863148481,-0.3460269643151635,-0.142857142857143,-0.22677868380553623,-0.8937763334443733
hollyburch,0.06243055405724209,0.35959834427604026,-0.0755928946018454,1.0,0.31883953153252503,-0.9202466177453646,0.7299930044480613,-0.7239537379384489,0.8255111625279452,0.2863041654603147
lori34,0.6614066561093311,-0.9786363637509475,1.0,0.31883953153252503,1.0,0.4914045032259877,0.24978768573664845,-0.7004727969157799,-0.9634667878413581,-0.18772499463521763
patricksmith,-0.061800465234283966,-0.6821835028427484,0.3825298863148481,-0.9202466177453646,0.4914045032259877,1.0,-0.6073381670229585,0.13116516715679044,-0.9328719097496719,-0.33541019662496846
stephanie92,-0.28542022422644253,0.01937187975171563,-0.3460269643151635,0.7299930044480613,0.24978768573664845,-0.6073381670229585,1.0,-0.8017837257372731,0.2980197803396349,0.7974752719202953
tclark,0.06747444783681811,0.6740186015747764,-0.142857142857143,-0.7239537379384489,-0.7004727969157799,0.13116516715679044,-0.8017837257372731,0.9999999999999998,0.4140393356054128,-0.4946613887799436
terrinorman,0.20828748261144053,0.749554234730309,-0.22677868380553623,0.8255111625279452,-0.9634667878413581,-0.9328719097496719,0.2980197803396349,0.4140393356054128,1.0,-0.005199314567548241
traci02,-0.5459148380964188,0.15892842236611626,-0.8937763334443733,0.2863041654603147,-0.18772499463521763,-0.33541019662496846,0.7974752719202953,-0.4946613887799436,-0.005199314567548241,1.0
